,Protein1,Protein2,Interacting
515,P19659,P32585,1
516,P19659,P47822,1
517,P19659,P25648,1
518,P04050,P19659,1
519,P19659,P36100,1
520,P19659,P36145,1
521,P16649,P16649,1
522,P12754,P09032,1
523,P09032,P32501,1
524,P09032,P32502,1
525,P14741,P09032,1
526,P12754,P32501,1
527,P14741,P32501,1
528,P15442,P15442,1
529,P15442,P02829,1
530,P32774,P32773,1
531,P49686,Q12315,1
532,P20449,Q12315,1
533,Q12315,P40477,1
534,P02309,P02293,1
535,Q03330,P02309,1
536,P02309,Q12341,1
537,P02309,P39984,1
538,P16649,P02309,1
539,P20050,P20050,1
540,P30771,Q99383,1
541,P25298,Q99383,1
542,Q99383,P25299,1
543,P40460,Q04477,1
544,P31539,P31539,1
545,P28707,P02829,1
546,P23561,P02829,1
547,P15705,P02829,1
548,Q04477,P25344,1
549,P04807,P04807,1
550,P32917,P32917,1
551,P32917,P25344,1
552,P32917,P53298,1
553,P11433,P18851,1
554,P41697,P23561,1
555,Q06706,P08518,1
556,Q02908,Q06706,1
557,Q06706,P42935,1
558,Q06706,P16370,1
559,P20433,Q06706,1
560,Q06706,P20434,1
561,Q06706,P04050,1
562,P20435,Q06706,1
563,P33331,Q06142,1
564,Q02630,Q06142,1
565,P49687,Q06142,1
566,P20676,Q06142,1
567,P16474,P16474,1
568,P00729,P16474,1
569,P14906,P16474,1
570,P17119,Q12045,1
571,P08518,P06242,1
572,P06242,P04050,1
573,P06242,Q03290,1
574,Q08963,P21374,1
575,P40567,Q08963,1
576,P08638,P08638,1
577,P10507,P11914,1
578,P11746,P11746,1
579,P11746,P07250,1
580,Q08032,P29469,1
581,P29496,P29469,1
582,P29469,P29469,1
583,P29469,P24279,1
584,P24279,P29496,1
585,P24279,P24279,1
586,P06782,P27705,1
587,Q12083,P38920,1
588,P14242,P38920,1
589,P38920,P15873,1
590,P15705,P28707,1
591,Q12328,P32830,1
592,P33334,Q12186,1
593,P13433,P14908,1
594,P23561,P23561,1
595,P32915,P35179,1
596,P06839,Q04673,1
597,Q04673,P32776,1
598,P30771,P30771,1
599,P30771,P24783,1
600,P30771,P53550,1
601,P38798,P30771,1
602,Q00916,P30771,1
603,P34077,P14907,1
604,P52593,P34077,1
605,P47054,P34077,1
606,P34077,P32337,1
607,P38798,P53628,1
608,P14907,P33331,1
609,P40368,P14907,1
610,P14907,P32337,1
611,P46674,P14907,1
612,P49687,P33331,1
613,P33331,P20676,1
614,P40482,P25385,1
615,P16521,P02994,1
616,P04386,P19659,1
617,Q04839,Q12315,1
618,Q04673,Q04673,1
619,P34077,P39685,1
620,P07273,P04050,1
621,Q12030,P38129,1
622,Q12241,P36015,1
623,P06704,P32380,1
624,P09119,P54791,1
625,P06786,P06786,1
626,P19659,Q12124,1
627,P32502,P32501,1
628,P80428,P02293,1
629,P05453,P32790,1
630,P12385,P30771,1
631,Q08032,P24279,1
632,P17255,P16140,1
633,P16474,P01149,1
634,P33331,P32499,1
635,P40517,P30822,1
636,P09032,P20459,1
637,P20676,P40368,1
638,P38129,P53040,1
639,P32591,P22082,1
640,P04050,P20433,1
641,P38121,P13382,1
642,P38203,P40465,1
643,P38203,P32873,1
644,P47093,Q06406,1
645,P32774,P13393,1
646,P40089,P22138,1
647,Q06406,P25644,1
648,Q02821,P33331,1
649,P36094,P32380,1
650,P36094,P53865,1
651,P32767,P20676,1
652,P32337,P20676,1
653,P32767,P32499,1
654,P32773,P32767,1
655,P32774,P32767,1
656,P40477,P20449,1
657,P40368,P40477,1
658,Q02821,P49686,1
659,P38181,P40368,1
660,P33307,Q02821,1
661,P41920,P21827,1
662,P06844,P13393,1
663,P03069,P13393,1
664,P32833,P54784,1
665,P54790,P54784,1
666,P54791,P54784,1
667,P50874,P54784,1
668,P38826,P54784,1
669,P54784,P21691,1
670,P54790,P32833,1
671,P32833,P54791,1
672,P50874,P32833,1
673,P38826,P32833,1
674,P54790,P54791,1
675,P50874,P54790,1
676,P38826,P54790,1
677,P54791,P50874,1
678,P54791,P38826,1
679,P50874,P38826,1
680,P46964,P41543,1
681,P48439,P41543,1
682,Q92316,P41543,1
683,P39007,P41543,1
684,Q02795,P41543,1
685,P33767,P41543,1
686,P48439,P46964,1
687,Q92316,P46964,1
688,P33767,P46964,1
689,Q92316,P48439,1
690,P48439,P39007,1
691,Q02795,P48439,1
692,P48439,P33767,1
693,Q92316,P39007,1
694,P33767,Q92316,1
695,P38129,P34162,1
696,P39723,P46675,1
697,P39081,P04147,1
698,P25298,P04147,1
699,P04147,P25299,1
700,P29468,P45976,1
701,P53044,P29468,1
702,Q06632,P29468,1
703,P29468,Q12102,1
704,P29468,Q06224,1
705,P29468,Q06102,1
706,P38956,P22082,1
707,P23561,P08018,1
708,P08018,P40073,1
709,P39081,P39081,1
710,P80667,P39108,1
711,P39108,P53112,1
712,P07270,P20052,1
713,P29055,P07270,1
714,P33338,P33338,1
715,P32807,P11978,1
716,P06779,P06701,1
717,P33754,P39742,1
718,P39742,P14906,1
719,P14906,P33754,1
720,P07560,P39958,1
721,P17065,P07560,1
722,P31109,P40357,1
723,P40357,P32602,1
724,P53437,P40992,1
725,P53437,P13393,1
726,P04050,Q06697,1
727,P38351,P04050,1
728,P36145,P04050,1
729,P20433,P08518,1
730,P20434,P08518,1
731,P16370,P20433,1
732,P20434,P20433,1
733,P22216,P14737,1
734,P25454,P25454,1
735,P06839,Q00578,1
736,Q02630,P32337,1
737,P49687,P32337,1
738,P32337,Q03790,1
739,P06103,P40217,1
740,Q04067,P06103,1
741,P31384,P39008,1
742,P15436,P47110,1
743,P13382,P47110,1
744,P47110,P15873,1
745,P15873,P38630,1
746,P15873,P40348,1
747,P38629,P15873,1
748,P40339,P15873,1
749,P38251,P15873,1
750,P24482,P21951,1
751,P21951,P21951,1
752,P13382,P21951,1
753,P10363,P21951,1
754,P32897,Q01852,1
755,P31380,P47017,1
756,P25644,P47017,1
757,P41920,P47017,1
758,P32558,P47017,1
759,P48240,P47017,1
760,P47017,P40527,1
761,P36048,P47017,1
762,P14741,P47017,1
763,P47017,P23561,1
764,P47017,P53965,1
765,P09547,P47017,1
766,P48582,P47017,1
767,Q12461,P47017,1
768,P39706,P38203,1
769,P38203,P25644,1
770,P38203,Q04089,1
771,P38203,P39998,1
772,P32481,P38203,1
773,P40527,P38203,1
774,P57743,P25644,1
775,P53550,P38203,1
776,P38203,P39073,1
777,Q12395,P38203,1
778,P38203,Q12038,1
779,P40070,P18480,1
780,P40070,P25644,1
781,P40070,Q07350,1
782,P53622,P40070,1
783,Q05543,P40070,1
784,P57743,P47017,1
785,P57743,P38203,1
786,P57743,P47093,1
787,P48582,P57743,1
788,P53550,P40070,1
789,P40070,P22579,1
790,Q12517,P40070,1
791,P40089,P32481,1
792,P40089,P40070,1
793,P40089,P47017,1
794,P40089,P14741,1
795,Q06217,P40089,1
796,P40089,P49960,1
797,Q06217,Q06406,1
798,P57743,Q06406,1
799,Q06406,P49960,1
800,P53905,Q06406,1
801,P25644,P53905,1
802,P53905,Q07468,1
803,P53905,P57743,1
804,P53905,P49960,1
805,P20053,P53905,1
806,P47093,P38074,1
807,P23059,P47093,1
808,P47093,P47068,1
809,P47093,P49960,1
810,Q08199,P47093,1
811,P20053,P47093,1
812,P25644,P53550,1
813,P39998,P39998,1
814,P23615,P39998,1
815,P53550,P38198,1
816,P07256,P53550,1
817,P53550,P25659,1
818,P52891,P53550,1
819,P53550,P25339,1
820,P23615,P53550,1
821,P53550,P36022,1
822,P53550,P08638,1
823,P53550,P46963,1
824,P39940,P04050,1
825,P39007,P46964,1
826,P20457,P21951,1
827,P38129,P13393,1
828,P33767,Q02795,1
829,P06779,P14736,1
830,P46957,P47110,1
831,P47017,Q06406,1
832,P38203,P49960,1
833,P40070,Q06217,1
834,P57743,P40089,1
835,Q00416,P47093,1
836,P32773,P29055,1
837,P19812,P06104,1
838,P38181,P20676,1
839,Q05027,P38129,1
840,Q02795,Q92316,1
841,P13393,P32773,1
842,P32774,P29055,1
843,P53112,P80667,1
844,P38203,P23059,1
845,P40070,P38960,1
846,P25644,P40089,1
847,P40527,P40089,1
848,P40089,Q12461,1
849,Q02795,P46964,1
850,P06738,P53550,1
851,P89102,P38203,1
852,P53112,Q06389,1
853,P34223,P20676,1
854,P32911,P38764,1
855,P38293,P21243,1
856,P23542,P23542,1
857,P06786,P35187,1
858,Q12287,P32602,1
859,P38348,P32602,1
860,P32602,Q08278,1
861,P32602,P40505,1
862,P32602,P36048,1
863,P32602,P36075,1
864,Q03656,P53091,1
865,P38804,Q03656,1
866,P32790,P14359,1
867,P33338,P32793,1
868,P32628,P38764,1
869,Q01532,P22213,1
870,P46680,P17555,1
871,Q06411,P38316,1
872,P46682,P32873,1
873,P11433,Q05785,1
874,P22224,P29366,1
875,P41896,P38877,1
876,P38261,P22224,1
877,P38261,P53738,1
878,P43563,P25555,1
879,Q02574,Q03818,1
880,Q03290,Q02574,1
881,P14359,Q12446,1
882,P32776,Q02574,1
883,Q03818,P20676,1
884,Q05080,P20676,1
885,P20676,P19524,1
886,P20676,P20435,1
887,P21243,P21242,1
888,P21242,P32911,1
889,P30656,P89105,1
890,P30657,P30656,1
891,P20676,P39718,1
892,P20676,P25651,1
893,P20676,P53184,1
894,P30657,P22141,1
895,P21242,P40302,1
896,P32379,P21242,1
897,P38348,P30656,1
898,P38624,P30656,1
899,P30656,P32911,1
900,P38293,P30656,1
901,P38624,P25043,1
902,P40013,P30657,1
903,P40555,P23724,1
904,P23639,P25043,1
905,P15938,Q06819,1
906,Q08162,P15938,1
907,P38293,P15938,1
908,Q02754,P15938,1
909,P32906,Q03776,1
910,P25451,P25043,1
911,P43124,P15705,1
912,P16649,P43124,1
913,Q05541,P43124,1
914,P17106,P22216,1
915,P32523,P32523,1
916,P40032,P43588,1
917,P18239,P32602,1
918,P23638,P32911,1
919,P07274,P17555,1
920,P53851,P30657,1
921,P46151,P15938,1
922,P22141,P30656,1
923,P39009,P32526,1
924,P15938,P37366,1
925,P53437,P25344,1
926,Q12267,P47037,1
927,P30902,P07251,1
928,P07251,P61829,1
929,P47037,P38989,1
930,Q02732,P32458,1
931,Q12349,P00830,1
932,P25344,P45976,1
933,P25344,P22224,1
934,P30822,P39723,1
935,P30822,Q04377,1
936,P38817,P30822,1
937,P30822,P20457,1
938,P30822,P39523,1
939,P30822,Q12390,1
940,P30822,P53550,1
941,Q99383,P25344,1
942,P25344,Q03503,1
943,Q08214,P25344,1
944,P25344,P39723,1
945,P47822,P25344,1
946,P32610,P25344,1
947,P25344,Q02948,1
948,P36116,P25344,1
949,P32908,P32908,1
950,P32908,P25651,1
951,P30822,P30822,1
952,P32908,P36094,1
953,P36022,P32908,1
954,P32908,P17119,1
955,P36022,P01097,1
956,Q06629,Q04477,1
957,Q07508,P47037,1
958,P40014,Q04477,1
959,Q06629,P33895,1
960,P33895,P47037,1
961,P47037,P39523,1
962,P32908,Q07457,1
963,P33895,Q07457,1
964,Q07457,Q07457,1
965,P38989,Q07457,1
966,Q06629,Q07457,1
967,Q07457,P47037,1
968,P17065,P17065,1
969,P32908,P47037,1
970,P33895,P36094,1
971,P07251,P00830,1
972,P00830,P00830,1
973,Q12349,P07251,1
974,P36022,P40014,1
975,P33895,Q12267,1
976,P38313,P39946,1
977,P33895,P17119,1
978,P40460,P33895,1
979,P40460,P40460,1
980,P32457,P34244,1
981,P07251,P21306,1
982,Q06405,P07251,1
983,P07251,P81450,1
984,P38077,P07251,1
985,P05626,P07251,1
986,Q12165,P00830,1
987,P00830,Q06405,1
988,P00830,P81450,1
989,P00830,P38077,1
990,P00830,P05626,1
991,P00830,P09457,1
992,P00830,P00854,1
993,P00830,P30902,1
994,P00830,P61829,1
995,P81450,P00854,1
996,Q06405,P00854,1
997,P09457,P00854,1
998,P30902,P00854,1
999,P30902,Q06405,1
1000,P30902,P81450,1
1001,P09457,P30902,1
1002,Q06405,P81450,1
1003,P38862,P39926,1
1004,Q04477,Q04477,1
1005,P01097,P07251,1
1006,Q02948,P30822,1
1007,P38989,P32908,1
1008,P47037,P47037,1
1009,P07251,Q12165,1
1010,P09457,P07251,1
1011,P01097,P00830,1
1012,P07251,P00854,1
1013,P25344,P54999,1
1014,P33895,P32908,1
1015,Q04477,P32908,1
1016,Q04477,Q06324,1
1017,P36022,Q04477,1
1018,P36094,P36094,1
1019,P21306,P00830,1
1020,Q12483,P29055,1
1021,P29055,P47032,1
1022,P38772,P29055,1
1023,Q03723,P29055,1
1024,P22336,P26755,1
1025,Q06103,P40016,1
1026,P29055,Q12038,1
1027,P21825,P29055,1
1028,P29055,Q02804,1
1029,P29055,Q12415,1
1030,Q08465,P29055,1
1031,P29055,P33448,1
1032,P29055,P50875,1
1033,P29055,Q12285,1
1034,P29055,P53829,1
1035,P41814,P29055,1
1036,P29055,P38429,1
1037,P29055,Q12349,1
1038,P29055,P46675,1
1039,P29055,P22696,1
1040,P40359,P29055,1
1041,P29055,P07278,1
1042,P38863,P29055,1
1043,P29055,P53330,1
1044,P50086,P29055,1
1045,P42938,P29055,1
1046,P53038,P29055,1
1047,P41896,P29055,1
1048,P33891,P29055,1
1049,P37261,P29055,1
1050,P29055,P38304,1
1051,P38123,P29055,1
1052,P49960,Q12262,1
1053,Q12154,Q12284,1
1054,Q02574,Q12495,1
1055,P02293,P38431,1
1056,Q03290,P37366,1
1057,P38207,P03069,1
1058,P07257,P07256,1
1059,P38182,Q12292,1
1060,Q12045,P32915,1
1061,P29295,Q12517,1
1062,P25454,P29295,1
1063,Q03759,P29055,1
1064,Q03406,P38210,1
1065,Q06835,Q06505,1
1066,P29055,P38782,1
1067,P35195,Q12306,1
1068,P29055,Q07457,1
1069,P53632,P38881,1
1070,Q02821,P36088,1
1071,P47064,Q08951,1
1072,P09201,Q99257,1
1073,P21825,P25635,1
1074,P35193,P41921,1
1075,Q12493,Q12483,1
1076,Q12305,P39998,1
1077,P07884,P40011,1
1078,Q08729,Q08214,1
1079,P53082,Q08729,1
1080,Q08729,P53112,1
1081,P38304,Q08729,1
1082,Q06525,Q08687,1
1083,P40045,P16622,1
1084,Q12330,P09959,1
1085,Q12493,Q12330,1
1086,Q04066,P25043,1
1087,P00560,Q12415,1
1088,Q12324,P11746,1
1089,Q08491,Q08215,1
1090,Q12118,Q12125,1
1091,P38276,Q12118,1
1092,Q99383,P09624,1
1093,P53632,P46678,1
1094,Q12285,Q12154,1
1095,P38629,P40339,1
1096,P23301,P33895,1
1097,Q01477,P53741,1
1098,P53725,P32569,1
1099,P53847,Q12745,1
1100,P38781,P53847,1
1101,P07257,Q02821,1
1102,Q02555,Q02821,1
1103,Q02821,Q05789,1
1104,Q06672,P41812,1
1105,Q06208,P11938,1
1106,P54999,Q02821,1
1107,P35193,Q02821,1
1108,Q02821,P53877,1
1109,P09201,Q02821,1
1110,Q05871,Q02821,1
1111,Q06549,Q02821,1
1112,Q02821,P14904,1
1113,Q02821,P08536,1
1114,Q99257,P36102,1
1115,Q05080,Q02784,1
